instrumentNumber,APN,APN Link,Location,Legal,Lot #,Size (AC),Size (SF),Flood Zone,Building Size (SF),Office Area (SF),Warehouse Area (SF),Storage Area (SF),Buildings,Parking (SF),Total Tax Amount,County Appraised Value
2025-00000565,19040.00010.00000,19040.00010.00000,1001 WIH 20 ODESSA,METAL SOLUTIONS BLOCK 1 LOT 1 INSIDE CITY LIMITS,1,6.42,"279,655.2",,0.00,0,0,0,0,0,2706.08,128400.00
2025-00000565,19040.00011.00000,19040.00011.00000,1001 WIH 20,METAL SOLUTIONS BLOCK 1 LOT 1 OUTSIDE CITY LIMITS,1,3.08,"134,164.8",,0.00,0,0,0,0,0,1011.01,61600.00
2025-00013323,28878.00010.00000,28878.00010.00000,WIH 20 ODESSA 79763,SKIPPER ESTATES BLOCK 1 LOT 1,1,3,"130,680.0",,0.00,0,0,0,0,0,984.75,60000.00
2025-00013323,28878.00020.00000,28878.00020.00000,WIH 20 ODESSA 79763,SKIPPER ESTATES BLOCK 1 LOT 2,2,3,"130,680.0",,0.00,0,0,0,0,0,984.75,60000.00
2025-00013323,28878.00030.00000,28878.00030.00000,WIH 20 ODESSA 79763,SKIPPER ESTATES BLOCK 1 LOT 3,3,4,"174,240.0",,0.00,0,0,0,0,0,1313.01,80000.00
2024-00019162,13330.00502.00000,13330.00502.00000,S HWY 385 ODESSA 79766,GUNSMOKE SUB BLOCK 7 LOT 3,3,10.35,"450,846.0",,0.00,0,0,0,0,0,2887.8,175950.00
2024-00008802,TBD,TBD,"TBD S US Hwy 385 Odessa, TX 79766","8.78 acre tract out of section 45, block 42, T-2-S, T &P RR Co. survey, Ector County.",,8.78,"382,456.8",,0.00,0,0,0,0,0,100,
2024-12156,R000211805,R000211805,11000 W County Rd 100,"Acres: 8.688, BLK: 006, LOT: 001, ADDN: WEST TERMINAL ADDN, SEC 2",1,8.688,"378,449.3",,0.00,0,0,0,0,0,2282.94,195480.00
